,altes_di_ries,defuncions_di_ries,nous_casos_diaris_confirmats,total_d_altes,total_de_casos_confirmats,total_de_defuncions,date
0,,10,146,,133751,5823,09-22
1,,4,125,,132700,5808,09-21
2,,2,127,,132024,5802,09-20
3,,,,,128901,5797,09-19
4,,,,,128901,5797,09-18
5,,5,183,,128901,5797,09-17
6,,7,110,,127544,5796,09-16
7,,7,214,,126234,5787,09-15
8,,5,0,,123393,5780,09-14
9,,5,1,,123393,5780,09-13
10,,,,,122320,5780,09-12
11,,,,,122320,5780,09-11
12,,8,198,,122320,5780,09-10
13,,3,115,,121054,5773,09-09
14,,4,93,,119839,5773,09-08
15,,6,147,,118974,5770,09-07
16,,8,87,,118233,5769,09-06
17,,,,,114987,5761,09-05
18,,,,,114987,5761,09-04
19,,8,160,,114987,5761,09-03
20,,9,113,,113569,5758,09-02
21,,9,87,,112230,5757,09-01
22,,3,142,,110667,5749,08-31
23,,3,67,,110017,5741,08-30
24,,,,,106811,5741,08-29
25,,,,,106811,5741,08-28
26,,4,141,,106811,5741,08-27
27,,7,164,,105429,5741,08-26
28,,8,165,,104084,5740,08-25
29,,3,153,,102817,5727,08-24
30,,6,84,,102032,5725,08-23
31,,,,,98462,5724,08-22
32,,,,,98462,5724,08-21
33,,10,172,,98462,5724,08-20
34,,10,180,,97234,5722,08-19
35,,8,244,,96139,5718,08-18
36,,3,69,,95123,5712,08-17
37,,1,129,,94702,5710,08-16
38,,,,,91982,5709,08-15
39,,,,,91982,5709,08-14
40,,1,169,,91982,5709,08-13
41,,3,164,,90890,5709,08-12
42,,2,200,,89909,5706,08-11
43,,2,100,,89015,5706,08-10
44,,2,76,,88572,5706,08-09
45,,,,,85970,5704,08-08
46,,,,,85970,5704,08-07
47,,3,113,,85970,5704,08-06
48,,5,149,,84952,5703,08-05
49,,5,146,,83850,5703,08-04
50,,5,109,,83079,5703,08-03
51,,2,,,80568,5687,08-02
52,,,,,79324,5686,08-01
53,,,,,79324,5686,07-31
54,,4,64,,79324,5686,07-30
55,,4,121,,78257,5686,07-29
56,,4,211,,77142,5685,07-28
57,,2,126,,76332,5682,07-27
58,,0,71,,75613,5680,07-26
59,,,,,72919,5680,07-25
60,,,,,72919,5680,07-24
61,,2,133,,72919,5680,07-23
62,,2,182,,71814,5680,07-22
63,,2,58,,70317,5680,07-21
64,,0,63,,69906,5678,07-20
65,,0,80,,69393,5678,07-19
66,,,,,67217,5678,07-18
67,,,,,67217,5678,07-17
68,,1,121,,67217,5678,07-16
69,,2,142,,66570,5678,07-15
70,,2,91,,65852,5678,07-14
71,,1,66,,65429,5677,07-13
72,,0,42,,65086,5676,07-12
73,,,,,63888,5675,07-11
74,,,,,63888,5675,07-10
75,,0,81,,63888,5675,07-09
76,,0,52,,63307,5675,07-08
77,,0,52,,63042,5675,07-07
78,,1,36,,62943,5675,07-06
79,,2,18,,62797,5674,07-05
80,,,,,62057,5673,07-04
81,,,,,62057,5673,07-03
82,,2,42,,62057,5673,07-02
83,,4,28,,61888,5673,07-01
84,,2,17,,61639,5671,06-30
85,,2,26,,61494,5670,06-29
86,,1,11,,61417,5669,06-28
87,,1,14,,61355,5669,06-27
88,,0,72,,61229,5668,06-26
89,,0,36,,61073,5668,06-25
90,,0,11,,60927,5666,06-24
91,,0,28,,60847,5666,06-23
92,,0,15,,60754,5666,06-22
93,,1,24,,60714,5666,06-21
94,,3,23,,60645,5666,06-20
95,,5,25,,60530,5666,06-19
96,,3,32,,60450,5662,06-18
97,,3,16,,60340,5587,06-17
98,,5,23,,60030,5587,06-16
99,,3,14,,59944,5587,06-15
100,,1,17,,59897,5587,06-14
101,,2,7,,59820,5587,06-13
102,,0,21,,59706,5587,06-12
103,,0,33,,59593,5587,06-11
104,,3,27,,59423,5587,06-10
105,,3,36,,59298,5587,06-09
106,,4,17,,59232,5587,06-08
107,,5,6,,59215,5587,06-07
108,,9,10,,59209,5587,06-06
109,,4,24,,59199,5587,06-05
110,,7,19,,59182,5587,06-04
111,,7,51,,59163,5587,06-03
112,,8,38,,59112,5587,06-02
113,,9,17,,59035,5587,06-01
114,,11,16,,59019,5587,05-31
115,,11,10,,59013,5587,05-30
116,,13,88,,59003,5587,05-29
117,,8,47,,58699,5584,05-28
118,,8,39,,58427,5584,05-27
119,,9,93,,57749,5583,05-26
120,,9,115,,57569,5583,05-25
121,,3,89,,57320,5575,05-24
122,,31,52,,58791,6701,05-23
123,,7,92,,58757,6663,05-22
124,,3,150,,58679,6656,05-21
125,,0,0,,57531,6021,05-20
126,,40,63,,57531,6021,05-19
127,,25,51,,57468,5981,05-18
128,,12,85,,57564,5956,05-17
129,105,29,116,26172,57467,5944,05-16
130,163,33,123,26067,57328,5915,05-15
131,55,59,151,25904,57107,5882,05-14
132,523,131,202,25849,57125,5823,05-13
133,360,71,136,25326,56923,5692,05-12
134,512,66,184,24966,56787,5621,05-11
135,105,23,83,24454,56450,5555,05-10
136,286,25,151,24349,53729,5532,05-09
137,399,36,369,24063,53578,5507,05-08
138,433,77,704,23664,53209,5471,05-07
139,350,49,415,23231,52505,5394,05-06
140,328,75,292,22881,52090,5345,05-05
141,655,50,405,22553,51798,5270,05-04
142,1566,35,132,21898,51393,5220,05-03
143,419,48,384,20332,51261,5185,05-02
144,273,76,543,19913,50877,5137,05-01
145,25,86,391,19640,50334,5061,04-30
146,555,70,262,19615,49943,4975,04-29
147,741,97,496,19060,49681,4905,04-28
148,422,109,403,18319,49185,4808,04-27
149,891,133,944,17897,48782,4699,04-26
150,253,68,550,17006,47838,4566,04-25
151,615,105,717,16753,47288,4498,04-24
152,661,50,1679,16138,46571,4393,04-23
153,388,96,1090,15477,44892,4343,04-22
154,643,95,690,15089,43802,4247,04-21
155,512,143,1436,14446,43112,4152,04-20
156,243,76,1076,13934,41676,4009,04-19
157,416,54,657,13691,40600,3933,04-18
158,488,127,1627,13275,39943,3879,04-17
159,826,134,962,12787,38316,3752,04-16
160,646,99,849,17297,37354,3855,04-15
161,684,90,1308,16651,36505,3756,04-14
162,365,128,471,15967,35197,3666,04-13
163,627,96,699,15602,34726,3538,04-12
164,677,111,1043,14975,34027,3442,04-11
165,785,100,1257,14298,32984,3331,04-10
166,450,83,684,13513,31727,3231,04-09
167,813,107,1396,13063,31043,3148,04-08
168,1512,133,1324,12250,29647,3041,04-07
169,650,148,1499,10738,28323,2908,04-06
170,560,123,792,10088,26824,2760,04-05
171,893,129,1298,9528,26032,2637,04-04
172,786,173,1274,8635,24734,2508,04-03
173,932,242,1656,7849,23460,2335,04-02
174,1216,244,1813,6917,21804,2093,04-01
175,735,177,1218,5701,19991,1849,03-31
176,841,262,2616,4966,18773,1672,03-30
177,670,184,1131,4125,16157,1410,03-29
178,349,156,763,3455,15026,1226,03-28
179,722,190,1323,3106,14263,1070,03-27
180,687,208,1348,2384,12940,880,03-26
181,423,156,1655,1697,11592,672,03-25
182,519,177,2073,1274,9937,516,03-24
183,27,94,1939,755,7864,339,03-23
184,84,54,1221,728,5925,245,03-22
185,494,69,501,644,4704,191,03-21
186,68,40,933,150,4203,122,03-20
187,,27,568,82,3270,82,03-19
188,,14,836,,2702,55,03-18
189,,23,472,,1866,41,03-17
190,,6,491,,1394,18,03-16
191,,4,188,,903,12,03-15
192,,2,206,,715,8,03-14
193,,0,190,,509,6,03-13
194,,2,135,,319,6,03-12
195,,1,55,,184,4,03-11
196,,0,24,,129,3,03-10
