,comarcacodi,comarcadescripcio,municipicodi,municipidescripcio,sexecodi,sexedescripcio,resultatcoviddescripcio,numcasos,date
0,08,Baix Camp,43123,Reus,0,Home,Positiu PCR,3,11-07
1,09,Baix Ebre,43013,L'Ametlla de Mar,1,Dona,Sospitós,4,11-07
2,34,Selva,17008,Anglès,0,Home,Positiu PCR,1,11-07
3,33,Segrià ,25133,Maials,1,Dona,Sospitós,1,11-07
4,41,Vallès Oriental,08096,Granollers,0,Home,Positiu PCR,2,11-07
5,03,Alt Penedès,08240,Sant Sadurní d'Anoia,1,Dona,Sospitós,1,11-07
6,10,Baix Empordà ,17160,Sant Feliu de Guíxols,1,Dona,Positiu PCR,2,11-07
7,34,Selva,17150,Riudellots de la Selva,1,Dona,Sospitós,1,11-07
8,40,Vallès Occidental,08260,Santa Perpétua de Mogoda,0,Home,Sospitós,1,11-07
9,13,Barcelonès,08245,Santa Coloma de Gramenet,1,Dona,Sospitós,7,11-07
10,34,Selva,17193,Sils,1,Dona,Sospitós,1,11-07
11,34,Selva,17009,Arbúcies,1,Dona,Positiu PCR,1,11-07
12,36,Tarragonès,43100,Els Pallaresos,1,Dona,Sospitós,2,11-07
13,33,Segrià ,25019,Almacelles,0,Home,Sospitós,2,11-07
14,13,Barcelonès,08019,Barcelona,1,Dona,Positiu per ELISA,7,11-07
15,34,Selva,17180,Santa Coloma de Farners,1,Dona,Positiu PCR,1,11-07
16,40,Vallès Occidental,08184,Rubí,1,Dona,Sospitós,11,11-07
17,24,Osona,08215,Sant Hipòlit de Voltregà,0,Home,Sospitós,1,11-07
18,24,Osona,08183,Roda de Ter,1,Dona,Positiu PCR,1,11-07
19,34,Selva,17023,Blanes,1,Dona,Positiu PCR,1,11-07
20,14,Berguedà ,08022,Berga,1,Dona,Positiu per ELISA,1,11-07
21,08,Baix Camp,43038,Cambrils,0,Home,Sospitós,22,11-07
22,35,Solsonès,25207,Solsona,0,Home,Sospitós,1,11-07
23,23,Noguera,25040,Balaguer,0,Home,Sospitós,2,11-07
24,40,Vallès Occidental,08279,Terrassa,1,Dona,Sospitós,19,11-07
25,07,Bages,08274,Súria,0,Home,Positiu PCR,1,11-07
26,39,Aran,25025,Naut Aran,1,Dona,Sospitós,2,11-07
27,34,Selva,17095,Lloret de Mar,0,Home,Sospitós,2,11-07
28,11,Baix Llobregat,08263,Sant Vicenç dels Horts,1,Dona,Positiu PCR,3,11-07
29,20,Gironès,17079,Girona,1,Dona,Positiu PCR,7,11-07
30,16,Conca de Barberà ,43147,Solivella,1,Dona,Sospitós,1,11-07
31,11,Baix Llobregat,08208,Sant Esteve Sesrovires,0,Home,Sospitós,1,11-07
32,41,Vallès Oriental,08124,Mollet del Vallès,0,Home,Positiu PCR,2,11-07
33,06,Anoia,08102,Igualada,1,Dona,Positiu PCR,3,11-07
34,02,Alt Empordà ,17135,Pont de Molins,0,Home,Sospitós,1,11-07
35,24,Osona,08283,Tona,0,Home,Sospitós,1,11-07
36,11,Baix Llobregat,08301,Viladecans,1,Dona,Positiu PCR,2,11-07
37,34,Selva,17008,Anglès,1,Dona,Positiu PCR,1,11-07
38,06,Anoia,08250,Santa Margarida de Montbui,1,Dona,Sospitós,4,11-07
39,09,Baix Ebre,43901,Deltebre,1,Dona,Positiu PCR,2,11-07
40,36,Tarragonès,43095,El Morell,1,Dona,Positiu per Test Ràpid,1,11-07
41,03,Alt Penedès,08305,Vilafranca del Penedès,0,Home,Sospitós,1,11-07
42,02,Alt Empordà ,17132,Peralada,1,Dona,Sospitós,1,11-07
43,33,Segrià ,25120,Lleida,1,Dona,Sospitós,20,11-07
44,07,Bages,08213,Sant Fruitós de Bages,0,Home,Positiu per ELISA,1,11-07
45,40,Vallès Occidental,08187,Sabadell,1,Dona,Positiu PCR,6,11-07
46,11,Baix Llobregat,08295,Vallirana,0,Home,Sospitós,1,11-07
47,41,Vallès Oriental,08108,Lliçà de Vall,0,Home,Sospitós,1,11-07
48,10,Baix Empordà ,17117,Palafrugell,0,Home,Sospitós,2,11-07
49,02,Alt Empordà ,17152,Roses,1,Dona,Sospitós,9,11-07
50,22,Montsià ,43004,Alcanar,0,Home,Sospitós,2,11-07
51,08,Baix Camp,43088,Montbrió del Camp,0,Home,Positiu PCR,1,11-07
52,20,Gironès,17050,Cervià de Ter,1,Dona,Sospitós,1,11-07
53,11,Baix Llobregat,08123,Molins de Rei,0,Home,Sospitós,1,11-07
54,40,Vallès Occidental,08184,Rubí,1,Dona,Positiu per ELISA,1,11-07
55,22,Montsià ,43044,La Sénia,0,Home,Sospitós,2,11-07
56,41,Vallès Oriental,08124,Mollet del Vallès,1,Dona,Sospitós,9,11-07
57,11,Baix Llobregat,08200,Sant Boi de Llobregat,1,Dona,Positiu per ELISA,2,11-07
58,02,Alt Empordà ,17092,Llançà,1,Dona,Sospitós,2,11-07
59,36,Tarragonès,43095,El Morell,0,Home,Sospitós,2,11-07
60,21,Maresme,08261,Santa Susanna,1,Dona,Sospitós,2,11-07
61,21,Maresme,08219,Vilassar de Mar,0,Home,Sospitós,1,11-07
62,09,Baix Ebre,43104,El Perelló,0,Home,Positiu PCR,1,11-07
63,10,Baix Empordà ,17057,Corçà,0,Home,Positiu PCR,1,11-07
64,14,Berguedà ,08049,Casserres,0,Home,Sospitós,1,11-07
65,20,Gironès,17169,Sant Julià de Ramis,0,Home,Positiu PCR,1,11-07
66,20,Gironès,17025,Bordils,1,Dona,Sospitós,1,11-07
67,11,Baix Llobregat,08263,Sant Vicenç dels Horts,0,Home,Positiu PCR,1,11-07
68,41,Vallès Oriental,08023,Bigues i Riells,1,Dona,Positiu PCR,1,11-07
69,07,Bages,08182,El Pont de Vilomara i Rocafort,0,Home,Positiu per ELISA,1,11-07
70,38,Urgell,25217,Tàrrega,1,Dona,Positiu PCR,5,11-07
71,02,Alt Empordà ,17047,Castelló d'Empúries,0,Home,Sospitós,2,11-07
72,13,Barcelonès,08015,Badalona,0,Home,Sospitós,33,11-07
73,41,Vallès Oriental,08086,Les Franqueses del Vallès,0,Home,Positiu PCR,1,11-07
74,34,Selva,17189,La Cellera de Ter,1,Dona,Sospitós,1,11-07
75,30,Ribera d'Ebre,43093,Móra d'Ebre,1,Dona,Positiu PCR,1,11-07
